"","default","checking_balance","months_loan_duration","credit_history","purpose","amount","savings_balance","employment_duration","years_at_residence","age","other_credit","housing","existing_loans_count","job","dependents","monthlyincome","phone"
"219","0","< 0 EUR",24,"good",NA,3021,"< 100 EUR","1 - 4 years",2,24,"none","rent",1,"unskilled",1,3882,0
"220","0","unknown",10,"good",NA,1364,"< 100 EUR","1 - 4 years",4,64,"none","own",1,"skilled",1,2309,1
"221","0","1 - 200 EUR",12,"good",NA,625,"< 100 EUR","< 1 year",1,26,"bank","own",1,"unskilled",1,184,0
"222","0","< 0 EUR",12,"good",NA,1200,"unknown","1 - 4 years",4,23,"bank","rent",1,"skilled",1,933,1
"223","0","unknown",12,"good",NA,707,"< 100 EUR","1 - 4 years",2,30,"bank","own",2,"skilled",1,-39,0
"224","0","unknown",24,"poor",NA,2978,"unknown","1 - 4 years",4,32,"none","own",2,"skilled",2,2409,1
"225","0","unknown",15,"good",NA,4657,"< 100 EUR","1 - 4 years",2,30,"none","own",1,"skilled",1,5127,1
"226","0","unknown",36,"perfect",NA,2613,"< 100 EUR","1 - 4 years",2,27,"none","own",2,"skilled",1,3287,0
"227","1","1 - 200 EUR",48,"good",NA,10961,"> 1000 EUR","4 - 7 years",2,27,"bank","own",2,"skilled",1,11186,1
"228","1","< 0 EUR",12,"good",NA,7865,"< 100 EUR","> 7 years",4,53,"none","other",1,"management",1,7214,1
"229","1","unknown",9,"good",NA,1478,"< 100 EUR","4 - 7 years",2,22,"none","own",1,"skilled",1,853,0
"230","0","< 0 EUR",24,"good",NA,3149,"< 100 EUR","< 1 year",1,22,"bank","other",1,"skilled",1,3261,0
"231","1","> 200 EUR",36,"good",NA,4210,"< 100 EUR","1 - 4 years",2,26,"none","own",1,"skilled",1,5024,0
"232","0","unknown",9,"good",NA,2507,"500 - 1000 EUR","> 7 years",4,51,"none","other",1,"unskilled",1,2947,0
"233","0","unknown",12,"good",NA,2141,"100 - 500 EUR","4 - 7 years",1,35,"none","own",1,"skilled",1,2172,0
"234","0","1 - 200 EUR",18,"good",NA,866,"< 100 EUR","1 - 4 years",2,25,"none","own",1,"unskilled",1,1319,0
"235","0","unknown",4,"critical",NA,1544,"< 100 EUR","4 - 7 years",1,42,"none","own",3,"unskilled",2,1113,0
"236","1","< 0 EUR",24,"good",NA,1823,"< 100 EUR","unemployed",2,30,"store","own",1,"management",2,2076,0
"237","1","1 - 200 EUR",6,"good",NA,14555,"unknown","unemployed",2,23,"none","own",1,"unemployed",1,15056,1
"238","1","1 - 200 EUR",21,"good",NA,2767,"100 - 500 EUR","> 7 years",2,61,"bank","rent",2,"unskilled",1,2432,0
"239","0","unknown",12,"critical",NA,1291,"< 100 EUR","1 - 4 years",2,35,"none","own",2,"skilled",1,1830,0
"240","0","< 0 EUR",30,"good",NA,2522,"< 100 EUR","> 7 years",3,39,"none","own",1,"skilled",2,3086,0
"241","1","< 0 EUR",24,"good",NA,915,"unknown","> 7 years",2,29,"bank","own",1,"skilled",1,638,0
"242","0","unknown",6,"good",NA,1595,"< 100 EUR","4 - 7 years",2,51,"none","own",1,"skilled",2,902,0
"243","1","< 0 EUR",48,"perfect",NA,4605,"< 100 EUR","> 7 years",4,24,"none","other",2,"skilled",2,4514,0
"244","0","unknown",12,"critical",NA,1185,"< 100 EUR","1 - 4 years",2,27,"none","own",2,"skilled",1,198,0
"245","0","unknown",12,"very good",NA,3447,"500 - 1000 EUR","1 - 4 years",3,35,"none","own",1,"unskilled",2,4345,0
"246","0","unknown",24,"good",NA,1258,"< 100 EUR","4 - 7 years",1,25,"none","own",1,"skilled",1,1991,1
"247","0","unknown",12,"critical",NA,717,"< 100 EUR","> 7 years",4,52,"none","own",3,"skilled",1,260,0
"248","0","unknown",6,"perfect",NA,1204,"100 - 500 EUR","1 - 4 years",1,35,"bank","rent",1,"skilled",1,1503,0
"249","0","> 200 EUR",24,"good",NA,1925,"< 100 EUR","1 - 4 years",2,26,"none","own",1,"skilled",1,2901,0
"250","1","unknown",18,"good",NA,433,"< 100 EUR","unemployed",4,22,"none","rent",1,"skilled",1,897,0
"251","0","< 0 EUR",6,"critical",NA,666,"> 1000 EUR","4 - 7 years",4,39,"none","own",2,"unskilled",1,1601,1
"252","0","> 200 EUR",12,"good",NA,2251,"< 100 EUR","1 - 4 years",2,46,"none","own",1,"unskilled",1,2165,0
"253","1","1 - 200 EUR",30,"good",NA,2150,"< 100 EUR","1 - 4 years",2,24,"bank","own",1,"skilled",1,2808,0
"254","0","unknown",24,"poor",NA,4151,"100 - 500 EUR","1 - 4 years",3,35,"none","own",2,"skilled",1,3637,0
"255","0","1 - 200 EUR",9,"good",NA,2030,"unknown","4 - 7 years",1,24,"none","own",1,"skilled",1,1633,1
"256","0","1 - 200 EUR",60,"poor",NA,7418,"unknown","1 - 4 years",1,27,"none","own",1,"unskilled",1,7822,0
"257","0","unknown",24,"critical",NA,2684,"< 100 EUR","1 - 4 years",2,35,"none","own",2,"unskilled",1,2020,0
"258","1","< 0 EUR",12,"very good",NA,2149,"< 100 EUR","1 - 4 years",1,29,"none","other",1,"skilled",1,2408,0
"259","0","unknown",15,"good",NA,3812,"100 - 500 EUR","< 1 year",4,23,"none","own",1,"skilled",1,3214,1
"260","0","unknown",11,"critical",NA,1154,"100 - 500 EUR","unemployed",4,57,"none","own",3,"unskilled",1,838,0
"261","0","< 0 EUR",12,"good",NA,1657,"< 100 EUR","1 - 4 years",2,27,"none","own",1,"skilled",1,2047,0
"262","0","< 0 EUR",24,"good",NA,1603,"< 100 EUR","> 7 years",4,55,"none","own",1,"skilled",1,2388,0
"263","0","< 0 EUR",18,"critical",NA,5302,"< 100 EUR","> 7 years",4,36,"none","other",3,"management",1,4845,1
"264","0","unknown",12,"critical",NA,2748,"< 100 EUR","> 7 years",4,57,"bank","other",3,"unskilled",1,2205,0
"265","0","unknown",10,"critical",NA,1231,"< 100 EUR","> 7 years",4,32,"none","own",2,"unskilled",2,1628,0
"266","1","1 - 200 EUR",15,"good",NA,802,"< 100 EUR","> 7 years",3,37,"none","own",1,"skilled",2,1344,0
"267","0","unknown",36,"critical",NA,6304,"unknown","> 7 years",4,36,"none","own",2,"skilled",1,6124,0
"268","0","unknown",24,"good",NA,1533,"< 100 EUR","< 1 year",3,38,"store","own",1,"skilled",1,1344,1
"269","1","< 0 EUR",14,"good",NA,8978,"< 100 EUR","> 7 years",4,45,"none","own",1,"management",1,8317,1
"270","0","unknown",24,"good",NA,999,"unknown","> 7 years",2,25,"none","own",2,"skilled",1,988,0
"271","0","unknown",18,"good",NA,2662,"unknown","4 - 7 years",3,32,"none","own",1,"skilled",1,2329,0
"272","0","unknown",12,"critical",NA,1402,"500 - 1000 EUR","4 - 7 years",4,37,"none","rent",1,"skilled",1,1936,1
"273","0","1 - 200 EUR",48,"very good",NA,12169,"unknown","unemployed",4,36,"none","other",1,"management",1,11510,1
"274","1","1 - 200 EUR",48,"good",NA,3060,"< 100 EUR","4 - 7 years",4,28,"none","own",2,"skilled",1,2798,0
"275","1","< 0 EUR",30,"good",NA,11998,"< 100 EUR","< 1 year",1,34,"none","own",1,"unskilled",1,11347,1
"276","0","unknown",9,"good",NA,2697,"< 100 EUR","1 - 4 years",2,32,"none","own",1,"skilled",2,3331,0
"277","0","unknown",18,"critical",NA,2404,"< 100 EUR","1 - 4 years",2,26,"none","own",2,"skilled",1,3049,0
"278","0","< 0 EUR",12,"good",NA,1262,"unknown","> 7 years",4,49,"none","own",1,"unskilled",1,1882,1
"279","1","unknown",6,"good",NA,4611,"< 100 EUR","< 1 year",4,32,"none","own",1,"skilled",1,3926,0
"280","0","unknown",24,"good",NA,1901,"100 - 500 EUR","1 - 4 years",4,29,"none","rent",1,"management",1,1196,1
"281","0","unknown",15,"critical",NA,3368,"> 1000 EUR","> 7 years",4,23,"none","rent",2,"skilled",1,3956,1
"282","0","unknown",12,"good",NA,1574,"< 100 EUR","1 - 4 years",2,50,"none","own",1,"skilled",1,1297,0
"283","0","> 200 EUR",18,"very good",NA,1445,"unknown","4 - 7 years",4,49,"bank","own",1,"unskilled",1,1003,0
"284","0","unknown",15,"critical",NA,1520,"unknown","> 7 years",4,63,"none","own",1,"skilled",1,1543,0
"285","0","1 - 200 EUR",24,"critical",NA,3878,"100 - 500 EUR","< 1 year",2,37,"none","own",1,"skilled",1,3804,1
"286","0","< 0 EUR",47,"good",NA,10722,"< 100 EUR","< 1 year",1,35,"none","own",1,"unskilled",1,9778,1
"287","0","< 0 EUR",48,"good",NA,4788,"< 100 EUR","4 - 7 years",3,26,"none","own",1,"skilled",2,4140,0
"288","0","1 - 200 EUR",48,"poor",NA,7582,"100 - 500 EUR","unemployed",4,31,"none","other",1,"management",1,6757,1
"289","0","1 - 200 EUR",12,"good",NA,1092,"< 100 EUR","1 - 4 years",4,49,"none","own",2,"skilled",1,1474,1
"290","1","< 0 EUR",24,"poor",NA,1024,"< 100 EUR","< 1 year",4,48,"store","own",1,"skilled",1,1121,0
"291","0","unknown",12,"good",NA,1076,"< 100 EUR","1 - 4 years",2,26,"none","own",1,"skilled",1,751,1
"292","1","1 - 200 EUR",36,"good",NA,9398,"< 100 EUR","< 1 year",4,28,"none","rent",1,"management",1,8521,1
"293","0","< 0 EUR",24,"critical",NA,6419,"< 100 EUR","> 7 years",4,44,"none","other",2,"management",2,7047,1
"294","0","> 200 EUR",42,"critical",NA,4796,"< 100 EUR","> 7 years",4,56,"none","other",1,"skilled",1,5291,0
"295","0","unknown",48,"critical",NA,7629,"unknown","> 7 years",2,46,"bank","own",2,"management",2,6710,0
"296","1","1 - 200 EUR",48,"good",NA,9960,"< 100 EUR","< 1 year",2,26,"none","own",1,"skilled",1,10244,1
"297","0","unknown",12,"good",NA,4675,"unknown","< 1 year",4,20,"none","rent",1,"skilled",1,4680,0
"298","0","unknown",10,"good",NA,1287,"unknown","> 7 years",2,45,"none","own",1,"unskilled",1,643,0
"299","0","unknown",18,"good",NA,2515,"< 100 EUR","1 - 4 years",4,43,"none","own",1,"skilled",1,1811,1
"300","0","1 - 200 EUR",21,"critical",NA,2745,"> 1000 EUR","4 - 7 years",2,32,"none","own",2,"skilled",1,1754,1
"301","0","unknown",6,"good",NA,672,"< 100 EUR","unemployed",4,54,"none","own",1,"unemployed",1,642,1
"302","1","1 - 200 EUR",36,"perfect",NA,3804,"< 100 EUR","1 - 4 years",1,42,"none","own",1,"skilled",1,2956,1
"303","1","> 200 EUR",24,"critical",NA,1344,"unknown","4 - 7 years",2,37,"bank","own",2,"unskilled",2,2189,0
"304","0","< 0 EUR",10,"critical",NA,1038,"< 100 EUR","4 - 7 years",3,49,"none","own",2,"skilled",1,1714,1
"305","1","unknown",48,"critical",NA,10127,"500 - 1000 EUR","1 - 4 years",2,44,"bank","other",1,"skilled",1,9802,0
"306","0","unknown",6,"good",NA,1543,"> 1000 EUR","1 - 4 years",2,33,"none","own",1,"skilled",1,2198,0
"307","0","unknown",30,"good",NA,4811,"unknown","4 - 7 years",4,24,"store","rent",1,"unskilled",1,5249,0
"308","1","< 0 EUR",12,"good",NA,727,"100 - 500 EUR","< 1 year",3,33,"none","own",1,"unskilled",1,1275,1
"309","1","1 - 200 EUR",8,"good",NA,1237,"< 100 EUR","1 - 4 years",4,24,"none","own",1,"skilled",1,752,0
"310","0","1 - 200 EUR",9,"good",NA,276,"< 100 EUR","1 - 4 years",4,22,"none","rent",1,"unskilled",1,-630,0
"311","0","1 - 200 EUR",48,"good",NA,5381,"unknown","unemployed",4,40,"bank","other",1,"unemployed",1,6088,1
"312","0","unknown",24,"good",NA,5511,"100 - 500 EUR","1 - 4 years",1,25,"store","own",1,"skilled",1,6355,0
"313","0","> 200 EUR",24,"good",NA,3749,"< 100 EUR","< 1 year",4,26,"none","own",1,"skilled",1,3041,0
"314","1","1 - 200 EUR",12,"good",NA,685,"< 100 EUR","4 - 7 years",3,25,"bank","own",1,"unskilled",1,374,0
"315","0","> 200 EUR",4,"good",NA,1494,"unknown","< 1 year",2,29,"none","own",1,"unskilled",2,1079,0
"316","1","< 0 EUR",36,"very good",NA,2746,"< 100 EUR","> 7 years",4,31,"bank","own",1,"skilled",1,3626,0
"317","0","< 0 EUR",12,"good",NA,708,"< 100 EUR","1 - 4 years",3,38,"none","own",1,"unskilled",2,465,0
"318","0","1 - 200 EUR",24,"good",NA,4351,"unknown","1 - 4 years",4,48,"none","own",1,"unskilled",1,3984,1
"319","0","unknown",12,"critical",NA,701,"< 100 EUR","1 - 4 years",2,32,"none","own",2,"skilled",1,-253,0
"320","0","< 0 EUR",15,"poor",NA,3643,"< 100 EUR","> 7 years",4,27,"none","own",2,"unskilled",1,4063,0
"321","1","1 - 200 EUR",30,"critical",NA,4249,"< 100 EUR","unemployed",2,28,"none","own",2,"management",1,5203,0
"322","1","< 0 EUR",24,"good",NA,1938,"< 100 EUR","< 1 year",3,32,"none","own",1,"skilled",1,1266,0
"323","0","< 0 EUR",24,"good",NA,2910,"< 100 EUR","4 - 7 years",1,34,"none","other",1,"management",1,2937,1
"324","0","< 0 EUR",18,"good",NA,2659,"> 1000 EUR","1 - 4 years",2,28,"none","own",1,"skilled",1,2434,0
"325","0","unknown",18,"critical",NA,1028,"< 100 EUR","1 - 4 years",3,36,"none","own",2,"skilled",1,1552,0
"326","0","< 0 EUR",8,"critical",NA,3398,"< 100 EUR","4 - 7 years",4,39,"none","own",2,"unskilled",1,4244,0
"327","0","unknown",12,"critical",NA,5801,"unknown","> 7 years",4,49,"none","rent",1,"skilled",1,6124,1
"328","0","unknown",24,"good",NA,1525,"> 1000 EUR","4 - 7 years",3,34,"none","own",1,"skilled",2,2178,1
"329","0","> 200 EUR",36,"good",NA,4473,"< 100 EUR","> 7 years",2,31,"none","own",1,"skilled",1,4341,0
"330","0","1 - 200 EUR",6,"good",NA,1068,"< 100 EUR","> 7 years",4,28,"none","own",1,"skilled",2,622,0
"331","0","< 0 EUR",24,"critical",NA,6615,"< 100 EUR","unemployed",4,75,"none","other",2,"management",1,5686,1
"332","1","unknown",18,"critical",NA,1864,"100 - 500 EUR","1 - 4 years",2,30,"none","own",2,"skilled",1,2783,0
"333","1","1 - 200 EUR",60,"good",NA,7408,"100 - 500 EUR","< 1 year",2,24,"none","own",1,"management",1,7606,0
"334","1","unknown",48,"critical",NA,11590,"100 - 500 EUR","1 - 4 years",4,24,"bank","rent",2,"unskilled",1,10637,0
"335","1","< 0 EUR",24,"perfect",NA,4110,"< 100 EUR","> 7 years",4,23,"bank","rent",2,"skilled",2,4247,0
"336","1","< 0 EUR",6,"critical",NA,3384,"< 100 EUR","1 - 4 years",4,44,"none","rent",1,"management",1,2553,1
"337","0","1 - 200 EUR",13,"good",NA,2101,"< 100 EUR","< 1 year",4,23,"none","own",1,"unskilled",1,2247,0
"338","1","< 0 EUR",15,"good",NA,1275,"unknown","1 - 4 years",2,24,"none","rent",1,"skilled",1,888,0
"339","0","< 0 EUR",24,"good",NA,4169,"< 100 EUR","1 - 4 years",4,28,"none","own",1,"skilled",1,5135,0
"340","0","1 - 200 EUR",10,"good",NA,1521,"< 100 EUR","1 - 4 years",2,31,"none","own",1,"unskilled",1,712,0
"341","0","1 - 200 EUR",24,"critical",NA,5743,"< 100 EUR","< 1 year",4,24,"none","other",2,"skilled",1,5052,1
"342","0","< 0 EUR",21,"good",NA,3599,"< 100 EUR","4 - 7 years",4,26,"none","rent",1,"unskilled",1,4381,0
"343","0","1 - 200 EUR",18,"good",NA,3213,"500 - 1000 EUR","< 1 year",3,25,"none","rent",1,"skilled",1,2346,0
"344","0","1 - 200 EUR",18,"good",NA,4439,"< 100 EUR","> 7 years",1,33,"bank","own",1,"management",1,3996,1
"345","0","> 200 EUR",10,"good",NA,3949,"< 100 EUR","< 1 year",1,37,"none","own",1,"unskilled",2,3343,0
"346","0","unknown",15,"critical",NA,1459,"< 100 EUR","1 - 4 years",2,43,"none","own",1,"unskilled",1,1771,0
"347","0","1 - 200 EUR",13,"critical",NA,882,"< 100 EUR","< 1 year",4,23,"none","own",2,"skilled",1,437,0
"348","0","1 - 200 EUR",24,"good",NA,3758,"500 - 1000 EUR","unemployed",4,23,"none","rent",1,"unemployed",1,4114,0
"349","0","unknown",6,"poor",NA,1743,"100 - 500 EUR","1 - 4 years",2,34,"none","own",2,"unskilled",1,2676,0
"350","1","1 - 200 EUR",9,"critical",NA,1136,"> 1000 EUR","> 7 years",3,32,"none","other",2,"skilled",2,383,0
"351","0","unknown",9,"good",NA,1236,"< 100 EUR","< 1 year",4,23,"none","rent",1,"skilled",1,941,1
"352","1","1 - 200 EUR",9,"good",NA,959,"< 100 EUR","1 - 4 years",2,29,"none","own",1,"skilled",1,943,0
"353","0","unknown",18,"critical",NA,3229,"unknown","unemployed",4,38,"none","own",1,"management",1,2278,1
"354","1","< 0 EUR",12,"perfect",NA,6199,"< 100 EUR","1 - 4 years",2,28,"none","rent",2,"skilled",1,5639,1
"355","0","unknown",10,"good",NA,727,"500 - 1000 EUR","> 7 years",4,46,"none","other",1,"skilled",1,670,1
"356","1","1 - 200 EUR",24,"good",NA,1246,"< 100 EUR","< 1 year",2,23,"store","own",1,"unskilled",1,2090,0
"357","0","unknown",12,"critical",NA,2331,"unknown","> 7 years",4,49,"none","own",1,"skilled",1,2896,1
"358","1","unknown",36,"poor",NA,4463,"< 100 EUR","1 - 4 years",2,26,"none","own",2,"management",1,4168,1
"359","0","unknown",12,"good",NA,776,"< 100 EUR","1 - 4 years",2,28,"none","own",1,"skilled",1,461,0
"360","1","< 0 EUR",30,"good",NA,2406,"< 100 EUR","4 - 7 years",4,23,"none","rent",1,"skilled",1,2675,0
"361","0","1 - 200 EUR",18,"good",NA,1239,"unknown","1 - 4 years",4,61,"none","other",1,"skilled",1,570,0
"362","0","> 200 EUR",12,"good",NA,3399,"unknown","> 7 years",3,37,"none","own",1,"management",1,3076,0
"363","0","> 200 EUR",12,"poor",NA,2247,"< 100 EUR","1 - 4 years",2,36,"store","own",2,"skilled",1,2384,1
"364","0","unknown",6,"good",NA,1766,"< 100 EUR","1 - 4 years",2,21,"none","rent",1,"skilled",1,1384,0
"365","1","< 0 EUR",18,"good",NA,2473,"< 100 EUR","unemployed",1,25,"none","own",1,"unemployed",1,2518,0
"366","0","unknown",12,"good",NA,1542,"< 100 EUR","4 - 7 years",4,36,"none","own",1,"skilled",1,1984,1
"367","0","unknown",18,"critical",NA,3850,"< 100 EUR","4 - 7 years",1,27,"none","own",2,"skilled",1,3469,0
"368","0","< 0 EUR",18,"good",NA,3650,"< 100 EUR","< 1 year",4,22,"none","rent",1,"skilled",1,3079,0
"369","1","< 0 EUR",36,"good",NA,3446,"< 100 EUR","> 7 years",2,42,"none","own",1,"skilled",2,2821,0
"370","0","1 - 200 EUR",18,"good",NA,3001,"< 100 EUR","4 - 7 years",4,40,"none","rent",1,"skilled",1,3170,0
"371","0","unknown",36,"good",NA,3079,"unknown","1 - 4 years",4,36,"none","own",1,"skilled",1,3985,0
"372","0","unknown",18,"critical",NA,6070,"< 100 EUR","> 7 years",4,33,"none","own",2,"skilled",1,5368,1
"373","0","unknown",10,"critical",NA,2146,"< 100 EUR","< 1 year",3,23,"none","rent",2,"skilled",1,2621,0
"374","0","unknown",60,"critical",NA,13756,"unknown","> 7 years",4,63,"bank","other",1,"management",1,14567,1
"375","1","1 - 200 EUR",60,"very good",NA,14782,"100 - 500 EUR","> 7 years",4,60,"bank","other",2,"management",1,15663,1
"376","1","< 0 EUR",48,"very good",NA,7685,"< 100 EUR","4 - 7 years",4,37,"none","rent",1,"skilled",1,7411,0
"377","0","unknown",18,"poor",NA,2320,"< 100 EUR","unemployed",3,34,"none","own",2,"skilled",1,3224,0
"378","0","unknown",7,"poor",NA,846,"unknown","> 7 years",4,36,"none","other",1,"skilled",1,597,0
"379","1","1 - 200 EUR",36,"good",NA,14318,"< 100 EUR","> 7 years",2,57,"none","other",1,"management",1,15295,1
"380","0","unknown",6,"critical",NA,362,"100 - 500 EUR","1 - 4 years",4,52,"none","own",2,"unskilled",1,272,0
"381","0","< 0 EUR",20,"good",NA,2212,"unknown","4 - 7 years",4,39,"none","own",1,"skilled",1,1655,1
"382","1","1 - 200 EUR",18,"good",NA,12976,"< 100 EUR","unemployed",4,38,"none","other",1,"management",1,12321,1
"383","0","unknown",22,"good",NA,1283,"unknown","4 - 7 years",4,25,"none","rent",1,"skilled",1,711,0
"384","0","> 200 EUR",12,"good",NA,1330,"< 100 EUR","< 1 year",1,26,"none","own",1,"skilled",1,1064,0
"385","0","unknown",30,"poor",NA,4272,"100 - 500 EUR","1 - 4 years",2,26,"none","own",2,"unskilled",1,3504,0
"386","0","unknown",18,"critical",NA,2238,"< 100 EUR","1 - 4 years",1,25,"none","own",2,"skilled",1,2725,0
"387","0","unknown",18,"good",NA,1126,"unknown","< 1 year",2,21,"none","rent",1,"skilled",1,1439,1
"388","0","1 - 200 EUR",18,"critical",NA,7374,"< 100 EUR","unemployed",4,40,"store","own",2,"management",1,6556,1
"389","0","1 - 200 EUR",15,"critical",NA,2326,"500 - 1000 EUR","1 - 4 years",4,27,"bank","own",1,"skilled",1,2918,0
"390","0","unknown",9,"good",NA,1449,"< 100 EUR","4 - 7 years",2,27,"none","own",2,"skilled",1,1761,0
"391","0","unknown",18,"good",NA,1820,"< 100 EUR","1 - 4 years",2,30,"none","own",1,"management",1,1777,1
"392","0","1 - 200 EUR",12,"good",NA,983,"> 1000 EUR","< 1 year",4,19,"none","rent",1,"unskilled",1,1395,0
"393","0","< 0 EUR",36,"good",NA,3249,"< 100 EUR","4 - 7 years",4,39,"bank","other",1,"management",2,3191,1
"394","0","< 0 EUR",6,"critical",NA,1957,"< 100 EUR","4 - 7 years",4,31,"none","own",1,"skilled",1,2801,0
"395","0","unknown",9,"critical",NA,2406,"< 100 EUR","unemployed",3,31,"none","own",1,"management",1,3161,0
"396","0","1 - 200 EUR",39,"poor",NA,11760,"100 - 500 EUR","4 - 7 years",3,32,"none","rent",1,"skilled",1,12502,1
"397","0","< 0 EUR",12,"good",NA,2578,"< 100 EUR","unemployed",4,55,"none","other",1,"management",1,2816,0
"398","0","< 0 EUR",36,"critical",NA,2348,"< 100 EUR","1 - 4 years",2,46,"none","own",2,"skilled",1,1769,1
"399","1","1 - 200 EUR",12,"good",NA,1223,"< 100 EUR","> 7 years",1,46,"none","rent",2,"skilled",1,1025,0
"400","0","unknown",24,"critical",NA,1516,"> 1000 EUR","1 - 4 years",1,43,"none","own",2,"unskilled",1,789,0
"401","0","unknown",18,"good",NA,1473,"< 100 EUR","< 1 year",4,39,"none","own",1,"skilled",1,1135,1
"402","0","1 - 200 EUR",18,"critical",NA,1887,"unknown","1 - 4 years",4,28,"bank","own",2,"skilled",1,1468,0
"403","1","unknown",24,"poor",NA,8648,"< 100 EUR","< 1 year",2,27,"bank","own",2,"skilled",1,9165,1
"404","0","unknown",14,"poor",NA,802,"< 100 EUR","1 - 4 years",2,27,"none","own",2,"unskilled",1,416,0
"405","0","1 - 200 EUR",18,"poor",NA,2899,"unknown","> 7 years",4,43,"none","own",1,"skilled",2,2828,0
"406","1","1 - 200 EUR",24,"good",NA,2039,"< 100 EUR","< 1 year",1,22,"none","own",1,"skilled",1,1228,1
"407","0","unknown",24,"critical",NA,2197,"unknown","4 - 7 years",4,43,"none","own",2,"skilled",2,2226,1
"408","0","< 0 EUR",15,"good",NA,1053,"< 100 EUR","< 1 year",2,27,"none","own",1,"skilled",1,542,0
"409","0","unknown",24,"good",NA,3235,"500 - 1000 EUR","> 7 years",2,26,"none","own",1,"management",1,2567,1
"410","1","> 200 EUR",12,"critical",NA,939,"500 - 1000 EUR","4 - 7 years",2,28,"none","own",3,"skilled",1,1776,1
"411","0","1 - 200 EUR",24,"good",NA,1967,"< 100 EUR","> 7 years",4,20,"none","own",1,"skilled",1,1923,1
"412","0","unknown",33,"critical",NA,7253,"< 100 EUR","4 - 7 years",2,35,"none","own",2,"management",1,7911,1
"413","1","unknown",12,"critical",NA,2292,"< 100 EUR","unemployed",2,42,"store","own",2,"management",1,2985,1
"414","0","unknown",10,"good",NA,1597,"500 - 1000 EUR","1 - 4 years",2,40,"none","rent",1,"unskilled",2,994,0
"415","1","< 0 EUR",24,"good",NA,1381,"unknown","1 - 4 years",2,35,"none","own",1,"skilled",1,1476,0
"416","0","unknown",36,"critical",NA,5842,"< 100 EUR","> 7 years",2,35,"none","own",2,"skilled",2,6701,1
"417","1","< 0 EUR",12,"good",NA,2579,"< 100 EUR","< 1 year",1,33,"none","own",1,"unskilled",2,3482,0
"418","0","< 0 EUR",18,"poor",NA,8471,"unknown","1 - 4 years",2,23,"none","rent",2,"skilled",1,8147,1
"419","0","unknown",21,"good",NA,2782,"500 - 1000 EUR","4 - 7 years",2,31,"bank","own",1,"management",1,2600,0
"420","1","1 - 200 EUR",18,"good",NA,1042,"unknown","1 - 4 years",2,33,"none","own",1,"skilled",1,317,0
"421","0","unknown",15,"good",NA,3186,"> 1000 EUR","4 - 7 years",3,20,"none","rent",1,"skilled",1,3688,0
"422","0","1 - 200 EUR",12,"good",NA,2028,"unknown","1 - 4 years",2,30,"none","own",1,"skilled",1,2284,0
"423","0","1 - 200 EUR",12,"critical",NA,958,"< 100 EUR","4 - 7 years",3,47,"none","own",2,"unskilled",2,694,0
"424","0","unknown",21,"poor",NA,1591,"100 - 500 EUR","4 - 7 years",3,34,"none","own",2,"management",1,1691,0
"425","1","1 - 200 EUR",12,"good",NA,2762,"unknown","> 7 years",2,25,"bank","own",1,"skilled",1,1871,1
"426","0","1 - 200 EUR",18,"good",NA,2779,"< 100 EUR","1 - 4 years",3,21,"none","rent",1,"skilled",1,2857,1
"427","0","unknown",28,"critical",NA,2743,"< 100 EUR","> 7 years",2,29,"none","own",2,"skilled",1,3258,0
"428","0","unknown",18,"critical",NA,1149,"> 1000 EUR","1 - 4 years",3,46,"none","own",2,"skilled",1,1190,0
"429","0","unknown",9,"good",NA,1313,"< 100 EUR","> 7 years",4,20,"none","own",1,"skilled",1,1534,0
"430","1","< 0 EUR",18,"critical",NA,1190,"< 100 EUR","unemployed",4,55,"none","other",3,"unemployed",2,2078,0
"431","0","unknown",5,"good",NA,3448,"< 100 EUR","4 - 7 years",4,74,"none","own",1,"unskilled",1,3742,0
"432","1","1 - 200 EUR",24,"good",NA,11328,"< 100 EUR","1 - 4 years",3,29,"bank","own",2,"management",1,11430,1
"433","0","< 0 EUR",6,"critical",NA,1872,"< 100 EUR","unemployed",4,36,"none","other",3,"management",1,1138,1
"434","0","unknown",24,"critical",NA,2058,"< 100 EUR","1 - 4 years",2,33,"none","own",2,"skilled",1,2933,1
"435","0","< 0 EUR",9,"good",NA,2136,"< 100 EUR","1 - 4 years",2,25,"none","own",1,"skilled",1,2652,0
"436","1","1 - 200 EUR",12,"good",NA,1484,"unknown","1 - 4 years",1,25,"none","own",1,"skilled",1,1206,1
"437","0","unknown",6,"good",NA,660,"500 - 1000 EUR","4 - 7 years",4,23,"none","rent",1,"unskilled",1,921,0
"438","0","unknown",24,"critical",NA,1287,"> 1000 EUR","> 7 years",4,37,"none","own",2,"skilled",1,1120,1
"439","0","< 0 EUR",42,"critical",NA,3394,"< 100 EUR","unemployed",4,65,"none","own",2,"unemployed",1,3274,0
"440","1","> 200 EUR",12,"very good",NA,609,"< 100 EUR","< 1 year",1,26,"none","own",1,"unemployed",1,224,0
"441","0","unknown",12,"good",NA,1884,"< 100 EUR","> 7 years",4,39,"none","own",1,"management",1,1101,1
"442","0","< 0 EUR",12,"good",NA,1620,"< 100 EUR","1 - 4 years",3,30,"none","own",1,"skilled",1,729,0
"443","0","1 - 200 EUR",20,"poor",NA,2629,"< 100 EUR","1 - 4 years",3,29,"bank","own",2,"skilled",1,3524,1
